Month,Year,P,D,E,CPI,Date.Frac,GS10,RP,RD,RE,PE10
10,1959,57,1.82,3.42,29.4,1959.79,4.53,459.4122449,14.67,27.56,18.02
11,1959,57.23,1.82,3.4,29.4,1959.87,4.53,461.2660136,14.67,27.40,18.07
12,1959,59.06,1.83,3.39,29.4,1959.96,4.69,476.0155646,14.75,27.32,18.62
1,1960,58.03,1.87,3.39,29.3,1960.04,4.72,469.310198,15.12,27.42,18.34
2,1960,55.78,1.9,3.39,29.4,1960.12,4.49,449.5792109,15.31,27.32,17.55
3,1960,55.02,1.94,3.39,29.4,1960.21,4.25,443.4537143,15.64,27.32,17.29
4,1960,55.73,1.94,3.35,29.5,1960.29,4.28,447.6535864,15.58,26.91,17.43
5,1960,55.22,1.95,3.3,29.5,1960.37,4.35,443.5569898,15.66,26.51,17.26
6,1960,57.26,1.95,3.26,29.6,1960.46,4.15,458.3895135,15.61,26.10,17.82
7,1960,55.84,1.95,3.26,29.6,1960.54,3.9,447.0218378,15.61,26.10,17.38
8,1960,56.51,1.95,3.27,29.6,1960.62,3.8,452.3854595,15.61,26.18,17.58
9,1960,54.81,1.95,3.27,29.6,1960.71,3.8,438.7762703,15.61,26.18,17.05
10,1960,53.73,1.95,3.27,29.8,1960.79,3.89,427.243651,15.51,26.00,16.61
11,1960,55.47,1.95,3.27,29.8,1960.87,3.93,441.0795705,15.51,26.00,17.15
12,1960,56.8,1.95,3.27,29.8,1960.96,3.84,451.655302,15.51,26.00,17.56
1,1961,59.72,1.95,3.21,29.8,1961.04,3.84,474.8742013,15.51,25.52,18.47
2,1961,62.17,1.94,3.15,29.8,1961.12,3.78,494.3558121,15.43,25.05,19.23
3,1961,64.12,1.94,3.09,29.8,1961.21,3.74,509.8615839,15.43,24.57,19.84
4,1961,65.83,1.94,3.07,29.8,1961.29,3.78,523.458953,15.43,24.41,20.38
5,1961,66.5,1.94,3.05,29.8,1961.37,3.71,528.7865772,15.43,24.25,20.6
6,1961,65.62,1.94,3.03,29.8,1961.46,3.88,521.7891007,15.43,24.09,20.33
7,1961,65.44,1.95,3.04,30,1961.54,3.92,516.8887467,15.40,24.01,20.15
8,1961,67.79,1.95,3.04,29.9,1961.62,4.04,537.2414181,15.45,24.09,20.94
9,1961,67.26,1.96,3.05,30,1961.71,3.98,531.26432,15.48,24.09,20.71
10,1961,68,1.98,3.1,30,1961.79,3.92,537.1093333,15.64,24.49,20.92
11,1961,71.08,2,3.14,30,1961.87,3.94,561.4372267,15.80,24.80,21.86
12,1961,71.74,2.02,3.19,30,1961.96,4.06,566.6503467,15.96,25.20,22.04
1,1962,69.07,2.03,3.25,30,1962.04,4.08,545.5609067,16.03,25.67,21.2
2,1962,70.22,2.03,3.31,30.1,1962.12,4.04,552.801701,15.98,26.06,21.45
3,1962,70.29,2.04,3.37,30.1,1962.21,3.93,553.3527708,16.06,26.53,21.44
4,1962,68.05,2.05,3.4,30.2,1962.29,3.84,533.9446358,16.09,26.68,20.66
5,1962,62.99,2.05,3.44,30.2,1962.37,3.87,494.2420662,16.09,26.99,19.09
6,1962,55.63,2.06,3.47,30.2,1962.46,3.91,436.4928742,16.16,27.23,16.83
7,1962,56.97,2.07,3.49,30.3,1962.54,4.01,445.5317228,16.19,27.29,17.14
8,1962,58.52,2.07,3.51,30.3,1962.62,3.98,457.6534389,16.19,27.45,17.57
9,1962,58,2.08,3.53,30.4,1962.71,3.98,452.0947368,16.21,27.52,17.32
10,1962,56.17,2.1,3.58,30.4,1962.79,3.93,437.8303684,16.37,27.91,16.74
11,1962,60.04,2.11,3.62,30.4,1962.87,3.92,467.996,16.45,28.22,17.85
12,1962,62.64,2.13,3.67,30.4,1962.96,3.86,488.2623158,16.60,28.61,18.59
1,1963,65.06,2.14,3.68,30.4,1963.04,3.83,507.1255789,16.68,28.68,19.26
2,1963,65.92,2.14,3.7,30.4,1963.12,3.92,513.8290526,16.68,28.84,19.47
3,1963,65.67,2.15,3.71,30.5,1963.21,3.93,510.2020721,16.70,28.82,19.29
4,1963,68.76,2.17,3.75,30.5,1963.29,3.97,534.2088393,16.86,29.13,20.15
5,1963,70.14,2.18,3.8,30.5,1963.37,3.93,544.9303082,16.94,29.52,20.51
6,1963,70.11,2.2,3.84,30.6,1963.46,3.99,542.9171765,17.04,29.74,20.38
7,1963,69.07,2.2,3.88,30.7,1963.54,4.02,533.1214072,16.98,29.95,19.97
8,1963,70.98,2.21,3.92,30.7,1963.62,4,547.8638697,17.06,30.26,20.47
9,1963,72.85,2.21,3.96,30.7,1963.71,4.08,562.2975896,17.06,30.57,20.96
10,1963,73.03,2.23,3.98,30.8,1963.79,4.11,561.8567792,17.16,30.62,20.89
11,1963,72.62,2.26,4,30.8,1963.87,4.12,558.7024416,17.39,30.77,20.72
12,1963,74.17,2.28,4.02,30.9,1963.96,4.13,568.7806861,17.48,30.83,21.04
1,1964,76.45,2.3,4.07,30.9,1964.04,4.17,586.2651133,17.64,31.21,21.63
2,1964,77.39,2.31,4.13,30.9,1964.12,4.15,593.4736052,17.71,31.67,21.83
3,1964,78.8,2.33,4.18,30.9,1964.21,4.22,604.286343,17.87,32.05,22.17
4,1964,79.94,2.35,4.23,30.9,1964.29,4.23,613.0285566,18.02,32.44,22.42
5,1964,80.72,2.36,4.28,30.9,1964.37,4.2,619.0100712,18.10,32.82,22.57
6,1964,80.24,2.38,4.33,31,1964.46,4.17,613.3442065,18.19,33.10,22.3
7,1964,83.22,2.4,4.38,31.1,1964.54,4.19,634.0775305,18.29,33.37,22.98
8,1964,82,2.42,4.42,31,1964.62,4.19,626.7974194,18.50,33.79,22.65
9,1964,83.41,2.44,4.47,31.1,1964.71,4.2,635.5251961,18.59,34.06,22.89
10,1964,84.85,2.46,4.5,31.1,1964.79,4.19,646.4969775,18.74,34.29,23.21
11,1964,85.44,2.48,4.52,31.2,1964.87,4.15,648.9058462,18.84,34.33,23.23
12,1964,83.96,2.5,4.55,31.2,1964.96,4.18,637.6654359,18.99,34.56,22.75
1,1965,86.12,2.52,4.59,31.2,1965.04,4.19,654.070359,19.14,34.86,23.27
2,1965,86.75,2.53,4.64,31.2,1965.12,4.21,658.8551282,19.22,35.24,23.37
3,1965,86.83,2.55,4.68,31.3,1965.21,4.21,657.3558083,19.31,35.43,23.25
4,1965,87.97,2.57,4.73,31.4,1965.29,4.2,663.8653248,19.39,35.69,23.42
5,1965,89.28,2.59,4.79,31.4,1965.37,4.21,673.7512357,19.55,36.15,23.71
6,1965,85.04,2.61,4.84,31.6,1965.46,4.21,637.6923544,19.57,36.29,22.39
7,1965,84.91,2.63,4.89,31.6,1965.54,4.2,636.717519,19.72,36.67,22.3
8,1965,86.49,2.64,4.93,31.6,1965.62,4.25,648.565519,19.80,36.97,22.67
9,1965,89.38,2.66,4.98,31.6,1965.71,4.29,670.2368608,19.95,37.34,23.37
10,1965,91.39,2.68,5.05,31.7,1965.79,4.35,683.1474574,20.03,37.75,23.78
11,1965,92.15,2.7,5.12,31.7,1965.87,4.45,688.8285174,20.18,38.27,23.93
12,1965,91.73,2.72,5.19,31.8,1965.96,4.62,683.5327296,20.27,38.67,23.69
1,1966,93.32,2.74,5.24,31.8,1966.04,4.61,695.3807296,20.42,39.05,24.06
2,1966,92.69,2.76,5.29,32,1966.12,4.83,686.36945,20.44,39.17,23.7
3,1966,88.88,2.78,5.34,32.1,1966.21,4.87,656.1060685,20.52,39.42,22.61
4,1966,91.6,2.8,5.38,32.3,1966.29,4.75,671.9980186,20.54,39.47,23.11
5,1966,86.78,2.81,5.42,32.3,1966.37,4.78,636.6374241,20.61,39.76,21.85
6,1966,86.06,2.83,5.46,32.4,1966.46,4.81,629.406716,20.70,39.93,21.56
7,1966,85.84,2.85,5.48,32.5,1966.54,5.02,625.8660431,20.78,39.96,21.38
8,1966,80.65,2.87,5.49,32.7,1966.62,5.22,584.4288685,20.80,39.78,19.91
9,1966,77.81,2.89,5.51,32.7,1966.71,5.18,563.8488563,20.94,39.93,19.16
10,1966,77.13,2.88,5.52,32.9,1966.79,5.01,555.5235502,20.74,39.76,18.83
11,1966,80.99,2.88,5.54,32.9,1966.87,5.16,583.3249362,20.74,39.90,19.71
12,1966,81.33,2.87,5.55,32.9,1966.96,4.84,585.7737629,20.67,39.97,19.74
1,1967,84.45,2.88,5.52,32.9,1967.04,4.58,608.2453495,20.74,39.76,20.43
2,1967,87.36,2.89,5.48,32.9,1967.12,4.63,629.2044255,20.82,39.47,21.07
3,1967,89.42,2.9,5.45,33,1967.21,4.54,642.0897939,20.82,39.13,21.44
4,1967,90.96,2.9,5.41,33.1,1967.29,4.59,651.1746707,20.76,38.73,21.69
5,1967,92.59,2.9,5.37,33.2,1967.37,4.85,660.8471807,20.70,38.33,21.95
6,1967,91.43,2.9,5.33,33.3,1967.46,5.02,650.6081922,20.64,37.93,21.55
7,1967,93.01,2.91,5.32,33.4,1967.54,5.16,659.8697485,20.65,37.74,21.8
8,1967,94.49,2.91,5.31,33.5,1967.62,5.28,668.3686687,20.58,37.56,22.03
9,1967,95.81,2.92,5.3,33.6,1967.71,5.3,675.688619,20.59,37.38,22.22
10,1967,95.66,2.92,5.31,33.7,1967.79,5.48,672.6288902,20.53,37.34,22.07
11,1967,92.66,2.92,5.32,33.8,1967.87,5.75,649.6069112,20.47,37.30,21.26
12,1967,95.3,2.92,5.33,33.9,1967.96,5.7,666.1441888,20.41,37.26,21.75
1,1968,95.04,2.93,5.37,34.1,1968.04,5.53,660.4304516,20.36,37.32,21.51
2,1968,90.75,2.94,5.4,34.2,1968.12,5.56,628.7754386,20.37,37.41,20.42
3,1968,89.09,2.95,5.44,34.3,1968.21,5.74,615.4742391,20.38,37.58,19.93
4,1968,95.67,2.96,5.48,34.4,1968.29,5.64,659.0105581,20.39,37.75,21.28
5,1968,97.87,2.98,5.53,34.5,1968.37,5.87,672.2108754,20.47,37.98,21.63
6,1968,100.5,2.99,5.57,34.7,1968.46,5.72,686.2962536,20.42,38.04,22
7,1968,100.3,3,5.6,34.9,1968.54,5.5,681.0053868,20.37,38.02,21.75
8,1968,98.11,3.02,5.63,35,1968.62,5.42,664.2327314,20.45,38.12,21.14
9,1968,101.3,3.03,5.66,35.1,1968.71,5.46,683.8760114,20.46,38.21,21.68
10,1968,103.8,3.04,5.69,35.3,1968.79,5.58,696.7832295,20.41,38.20,22
11,1968,105.4,3.06,5.73,35.4,1968.87,5.7,705.5249718,20.48,38.36,22.2
12,1968,106.5,3.07,5.76,35.5,1968.96,6.03,710.88,20.49,38.45,22.28
1,1969,102,3.08,5.78,35.6,1969.04,6.04,678.9303371,20.50,38.47,21.19
2,1969,101.5,3.09,5.8,35.8,1969.12,6.19,671.827933,20.45,38.39,20.9
3,1969,99.3,3.1,5.82,36.1,1969.21,6.3,651.8040997,20.35,38.20,20.2
4,1969,101.3,3.11,5.83,36.3,1969.29,6.17,661.2685399,20.30,38.06,20.43
5,1969,104.6,3.12,5.83,36.4,1969.37,6.32,680.9345055,20.31,37.95,20.97
6,1969,99.14,3.13,5.84,36.6,1969.46,6.57,641.8637814,20.26,37.81,19.71
7,1969,94.71,3.14,5.86,36.8,1969.54,6.72,609.8500435,20.22,37.73,18.68
8,1969,94.18,3.14,5.87,37,1969.62,6.69,603.1592649,20.11,37.59,18.43
9,1969,94.51,3.15,5.89,37.1,1969.71,7.16,603.6412291,20.12,37.62,18.4
10,1969,95.52,3.15,5.85,37.3,1969.79,7.1,606.8208901,20.01,37.16,18.45
11,1969,96.21,3.16,5.82,37.5,1969.87,7.14,607.944576,19.97,36.78,18.44
12,1969,91.11,3.16,5.78,37.7,1969.96,7.65,572.663809,19.86,36.33,17.33
1,1970,90.31,3.16,5.73,37.8,1970.04,7.79,566.1337989,19.81,35.92,17.09
2,1970,87.16,3.17,5.68,38,1970.12,7.24,543.5114105,19.77,35.42,16.37
3,1970,88.65,3.17,5.63,38.2,1970.21,7.07,549.9084817,19.66,34.92,16.53
4,1970,85.95,3.17,5.59,38.5,1970.29,7.39,529.0055065,19.51,34.41,15.87
5,1970,76.06,3.18,5.56,38.6,1970.37,7.91,466.9216995,19.52,34.13,13.98
6,1970,75.59,3.18,5.52,38.8,1970.46,7.84,461.6444948,19.42,33.71,13.8
7,1970,75.72,3.18,5.47,39,1970.54,7.46,460.0669538,19.32,33.24,13.73
8,1970,77.92,3.19,5.41,39,1970.62,7.53,473.4339282,19.38,32.87,14.1
9,1970,82.58,3.19,5.36,39.2,1970.71,7.39,499.1876735,19.28,32.40,14.84
10,1970,84.37,3.17,5.28,39.4,1970.79,7.33,507.4191675,19.07,31.76,15.06
11,1970,84.28,3.16,5.21,39.6,1970.87,6.84,504.317899,18.91,31.18,14.95
12,1970,90.05,3.14,5.13,39.8,1970.96,6.39,536.1368844,18.69,30.54,15.87
1,1971,93.49,3.13,5.16,39.8,1971.04,6.24,556.6178492,18.64,30.72,16.46
2,1971,97.11,3.12,5.19,39.9,1971.12,6.11,576.7214436,18.53,30.82,17.03
3,1971,99.6,3.11,5.22,40,1971.21,5.7,590.0304,18.42,30.92,17.4
4,1971,103,3.11,5.25,40.1,1971.29,5.83,608.6503741,18.38,31.02,17.92
5,1971,101.6,3.1,5.29,40.3,1971.37,6.39,597.3979156,18.23,31.10,17.56
6,1971,99.72,3.1,5.32,40.6,1971.46,6.52,582.0111133,18.09,31.05,17.08
7,1971,99,3.1,5.36,40.7,1971.54,6.73,576.3891892,18.05,31.21,16.89
8,1971,97.24,3.09,5.39,40.8,1971.62,6.58,564.7546667,17.95,31.30,16.52
9,1971,99.4,3.09,5.43,40.8,1971.71,6.14,577.2996078,17.95,31.54,16.86
10,1971,97.29,3.08,5.52,40.9,1971.79,5.93,563.6635306,17.84,31.98,16.43
11,1971,92.78,3.08,5.61,40.9,1971.87,5.81,537.5342005,17.84,32.50,15.64
12,1971,99.17,3.07,5.7,41.1,1971.96,5.93,571.7596886,17.70,32.86,16.6
1,1972,103.3,3.07,5.74,41.1,1972.04,5.95,595.5709976,17.70,33.09,17.26
2,1972,105.2,3.07,5.77,41.3,1972.12,6.08,603.588184,17.61,33.11,17.46
3,1972,107.7,3.07,5.81,41.4,1972.21,6.07,616.4394203,17.57,33.25,17.81
4,1972,108.8,3.07,5.86,41.5,1972.29,6.19,621.2348916,17.53,33.46,17.92
5,1972,107.7,3.07,5.92,41.6,1972.37,6.13,613.4757692,17.49,33.72,17.66
6,1972,108,3.07,5.97,41.7,1972.46,6.11,613.7093525,17.45,33.92,17.64
7,1972,107.2,3.07,6.03,41.9,1972.54,6.11,606.2556563,17.36,34.10,17.4
8,1972,111,3.08,6.08,42,1972.62,6.21,626.2514286,17.38,34.30,17.94
9,1972,109.4,3.08,6.14,42.1,1972.71,6.55,615.7582898,17.34,34.56,17.61
10,1972,109.6,3.1,6.23,42.3,1972.79,6.48,613.9672813,17.37,34.90,17.53
11,1972,115.1,3.13,6.33,42.4,1972.87,6.28,643.2569811,17.49,35.38,18.34
12,1972,117.5,3.15,6.42,42.5,1972.96,6.36,655.1247059,17.56,35.79,18.65
1,1973,118.4,3.16,6.55,42.6,1973.04,6.46,658.5930516,17.58,36.43,18.71
2,1973,114.2,3.16,6.67,42.9,1973.12,6.64,630.7886247,17.45,36.84,17.89
3,1973,112.4,3.17,6.8,43.3,1973.21,6.71,615.1109469,17.35,37.21,17.41
4,1973,110.3,3.19,6.94,43.6,1973.29,6.67,599.4653211,17.34,37.72,16.94
5,1973,107.2,3.2,7.09,43.9,1973.37,6.85,578.6358087,17.27,38.27,16.31
6,1973,104.8,3.22,7.23,44.2,1973.46,6.9,561.84181,17.26,38.76,15.81
7,1973,105.8,3.24,7.38,44.3,1973.54,7.13,565.9225282,17.33,39.48,15.89
8,1973,103.8,3.25,7.54,45.1,1973.62,7.4,545.3757871,17.08,39.62,15.28
9,1973,105.6,3.27,7.69,45.2,1973.71,7.09,553.6056637,17.14,40.31,15.48
10,1973,109.8,3.31,7.85,45.6,1973.79,6.79,570.5747368,17.20,40.79,15.91
11,1973,102,3.34,8,45.9,1973.87,6.73,526.5777778,17.24,41.30,14.65
12,1973,94.78,3.38,8.16,46.2,1973.96,6.74,486.1270303,17.34,41.85,13.49
1,1974,96.11,3.4,8.23,46.6,1974.04,6.99,488.7172876,17.29,41.85,13.53
2,1974,93.45,3.42,8.29,47.2,1974.12,6.96,469.150678,17.17,41.62,12.96
3,1974,97.44,3.44,8.36,47.8,1974.21,7.21,483.0414728,17.05,41.44,13.31
4,1974,92.46,3.46,8.49,48,1974.29,7.51,456.4442,17.08,41.91,12.55
5,1974,89.67,3.48,8.61,48.6,1974.37,7.58,437.2058272,16.97,41.98,12
6,1974,89.79,3.5,8.74,49,1974.46,7.54,434.2171102,16.93,42.27,11.89
7,1974,79.31,3.53,8.86,49.4,1974.54,7.81,380.4311255,16.93,42.50,10.39
8,1974,76.03,3.56,8.99,50,1974.62,8.04,360.321376,16.87,42.61,9.82
9,1974,68.12,3.59,9.11,50.6,1974.71,8.04,319.0062292,16.81,42.66,8.68
10,1974,69.44,3.59,9.04,51.1,1974.79,7.9,322.0059178,16.65,41.92,8.74
11,1974,71.74,3.6,8.96,51.5,1974.87,7.68,330.0875806,16.56,41.23,8.95
12,1974,67.07,3.6,8.89,51.9,1974.96,7.43,306.2217187,16.44,40.59,8.29
1,1975,72.56,3.62,8.74,52.1,1975.04,7.5,330.0156929,16.46,39.75,8.92
2,1975,80.1,3.65,8.6,52.5,1975.12,7.39,361.5332571,16.47,38.82,9.76
3,1975,83.78,3.67,8.45,52.7,1975.21,7.73,376.7079469,16.50,37.99,10.16
4,1975,84.72,3.68,8.29,52.9,1975.29,8.23,379.4943516,16.48,37.13,10.23
5,1975,90.1,3.7,8.12,53.2,1975.37,8.06,401.317594,16.48,36.17,10.82
6,1975,92.4,3.71,7.96,53.6,1975.46,7.86,408.4907463,16.40,35.19,11.01
7,1975,92.49,3.71,7.89,54.2,1975.54,8.06,404.3621845,16.22,34.49,10.9
8,1975,85.71,3.71,7.83,54.3,1975.62,8.4,374.030232,16.19,34.17,10.09
9,1975,84.67,3.71,7.76,54.6,1975.71,8.43,367.4615971,16.10,33.68,9.92
10,1975,88.57,3.7,7.83,54.9,1975.79,8.14,382.2868342,15.97,33.80,10.33
11,1975,90.07,3.69,7.89,55.3,1975.87,8.05,385.9491356,15.81,33.81,10.44
12,1975,88.7,3.68,7.96,55.5,1975.96,8,378.709045,15.71,33.99,10.25
1,1976,96.86,3.68,8.19,55.6,1976.04,7.74,412.804777,15.68,34.90,11.19
2,1976,100.6,3.69,8.43,55.8,1976.12,7.79,427.2074552,15.67,35.80,11.59
3,1976,101.1,3.69,8.66,55.9,1976.21,7.73,428.5627191,15.64,36.71,11.63
4,1976,101.9,3.71,8.86,56.1,1976.29,7.56,430.413975,15.67,37.42,11.69
5,1976,101.2,3.74,9.05,56.5,1976.37,7.9,424.4310088,15.69,37.96,11.53
6,1976,101.8,3.76,9.25,56.8,1976.46,7.86,424.6923944,15.69,38.59,11.54
7,1976,104.2,3.79,9.35,57.1,1976.54,7.83,432.4208757,15.73,38.80,11.76
8,1976,103.3,3.82,9.45,57.4,1976.62,7.77,426.4454355,15.77,39.01,11.6
9,1976,105.5,3.85,9.55,57.6,1976.71,7.59,434.0152778,15.84,39.29,11.81
10,1976,101.9,3.92,9.67,57.9,1976.79,7.41,417.0332297,16.04,39.58,11.35
11,1976,101.2,3.98,9.79,58,1976.87,7.29,413.4543448,16.26,40.00,11.25
12,1976,104.7,4.05,9.91,58.2,1976.96,6.87,426.2837113,16.49,40.35,11.6
1,1977,103.8,4.1,9.97,58.5,1977.04,7.21,420.4521026,16.61,40.38,11.44
2,1977,101,4.14,10.02,59.1,1977.12,7.39,404.957022,16.60,40.17,11.01
3,1977,100.6,4.19,10.08,59.5,1977.21,7.46,400.6416134,16.69,40.14,10.9
4,1977,99.05,4.25,10.19,60,1977.29,7.37,391.1814667,16.78,40.24,10.64
5,1977,98.76,4.3,10.31,60.3,1977.37,7.46,388.0956816,16.90,40.52,10.55
6,1977,99.29,4.36,10.42,60.7,1977.46,7.28,387.6072224,17.02,40.68,10.53
7,1977,100.2,4.41,10.52,61,1977.54,7.33,389.2359344,17.13,40.87,10.57
8,1977,97.75,4.45,10.61,61.2,1977.62,7.4,378.4777778,17.23,41.08,10.27
9,1977,96.23,4.5,10.71,61.4,1977.71,7.34,371.3788404,17.37,41.33,10.07
10,1977,93.74,4.56,10.77,61.6,1977.79,7.52,360.5946494,17.54,41.43,9.77
11,1977,94.28,4.61,10.83,61.9,1977.87,7.58,360.9141971,17.65,41.46,9.77
12,1977,93.82,4.67,10.89,62.1,1977.96,7.69,357.9965733,17.82,41.55,9.68
1,1978,90.25,4.71,10.9,62.5,1978.04,7.96,342.17024,17.86,41.33,9.24
2,1978,88.98,4.76,10.91,62.9,1978.12,8.03,335.2098696,17.93,41.10,9.05
3,1978,88.82,4.8,10.92,63.4,1978.21,8.04,331.9682524,17.94,40.81,8.95
4,1978,92.71,4.84,11.02,63.9,1978.29,8.15,343.7959562,17.95,40.87,9.26
5,1978,97.41,4.87,11.13,64.5,1978.37,8.35,357.864707,17.89,40.89,9.63
6,1978,97.66,4.91,11.23,65.2,1978.46,8.46,354.9311902,17.84,40.81,9.55
7,1978,97.19,4.95,11.34,65.7,1978.54,8.64,350.5348919,17.85,40.90,9.43
8,1978,103.9,4.98,11.46,66,1978.62,8.41,373.0324848,17.88,41.14,10.02
9,1978,103.9,5.02,11.57,66.5,1978.71,8.42,370.2277293,17.89,41.23,9.94
10,1978,100.6,5.04,11.82,67.1,1978.79,8.64,355.2634277,17.80,41.74,9.53
11,1978,94.71,5.05,12.08,67.4,1978.87,8.81,332.9745045,17.75,42.47,8.93
12,1978,96.11,5.07,12.33,67.7,1978.96,9.01,336.3991965,17.75,43.16,9.01
1,1979,99.71,5.11,12.65,68.3,1979.04,9.1,345.9338448,17.73,43.89,9.26
2,1979,98.23,5.16,12.98,69.1,1979.12,9.1,336.8535572,17.69,44.51,9
3,1979,100.1,5.2,13.3,69.8,1979.21,9.12,339.8237249,17.65,45.15,9.07
4,1979,102.1,5.25,13.53,70.6,1979.29,9.18,342.685779,17.62,45.41,9.13
5,1979,99.73,5.29,13.75,71.5,1979.37,9.25,330.5177734,17.53,45.57,8.79
6,1979,101.7,5.34,13.98,72.3,1979.46,8.91,333.3171784,17.50,45.82,8.85
7,1979,102.7,5.4,14.2,73.1,1979.54,8.95,332.9109713,17.50,46.03,8.83
8,1979,107.4,5.45,14.41,73.8,1979.62,9.03,344.8442276,17.50,46.27,9.13
9,1979,108.6,5.51,14.63,74.6,1979.71,9.33,344.9578552,17.50,46.47,9.11
10,1979,104.5,5.56,14.71,75.2,1979.79,10.3,329.2861702,17.52,46.35,8.68
11,1979,103.7,5.6,14.78,75.9,1979.87,10.65,323.7516733,17.48,46.14,8.52
12,1979,107.8,5.65,14.86,76.7,1979.96,10.39,333.0415645,17.46,45.91,8.75
1,1980,110.9,5.7,15,77.8,1980.04,10.8,337.7746015,17.36,45.69,8.85
2,1980,115.3,5.75,15.15,78.9,1980.12,12.41,346.2799493,17.27,45.50,9.05
3,1980,104.7,5.8,15.29,80.1,1980.21,12.75,309.7342322,17.16,45.23,8.08
4,1980,103,5.85,15.17,81,1980.29,11.47,301.3195062,17.11,44.38,7.84
5,1980,107.7,5.89,15.06,81.8,1980.37,10.18,311.9876773,17.06,43.63,8.1
6,1980,114.6,5.94,14.94,82.7,1980.46,9.78,328.3629504,17.02,42.81,8.51
7,1980,119.8,5.98,14.84,82.7,1980.54,10.25,343.2624909,17.13,42.52,8.88
8,1980,123.5,6.03,14.74,83.3,1980.62,11.1,351.3152461,17.15,41.93,9.07
9,1980,126.5,6.07,14.64,84,1980.71,11.51,356.8504762,17.12,41.30,9.2
10,1980,130.2,6.1,14.7,84.8,1980.79,11.75,363.8230189,17.05,41.08,9.36
11,1980,135.7,6.13,14.76,85.5,1980.87,12.68,376.0873918,16.99,40.91,9.65
12,1980,133.5,6.16,14.82,86.3,1980.96,12.84,366.5603708,16.91,40.69,9.39
1,1981,133,6.2,14.74,87,1981.04,12.57,362.2491954,16.89,40.15,9.26
2,1981,128.4,6.24,14.66,87.9,1981.12,13.19,346.1395222,16.82,39.52,8.83
3,1981,133.2,6.28,14.58,88.5,1981.21,13.12,356.6448814,16.81,39.04,9.08
4,1981,134.4,6.32,14.72,89.1,1981.29,13.68,357.4346128,16.81,39.15,9.09
5,1981,131.7,6.35,14.87,89.8,1981.37,14.1,347.5237416,16.76,39.24,8.82
6,1981,132.3,6.39,15.01,90.6,1981.46,13.47,346.0243709,16.71,39.26,8.77
7,1981,129.1,6.43,15.1,91.6,1981.54,14.28,333.9687336,16.63,39.06,8.45
8,1981,129.6,6.48,15.18,92.3,1981.62,14.94,332.7195666,16.64,38.97,8.4
9,1981,118.3,6.52,15.27,93.2,1981.71,15.32,300.7764807,16.58,38.82,7.58
10,1981,119.8,6.56,15.3,93.4,1981.79,15.15,303.9379872,16.64,38.82,7.65
11,1981,122.9,6.59,15.33,93.7,1981.87,13.39,310.8045251,16.67,38.77,7.81
12,1981,123.8,6.63,15.36,94,1981.96,13.72,312.0813617,16.71,38.72,7.83
1,1982,117.3,6.66,15.18,94.3,1982.04,14.59,294.755122,16.74,38.14,7.39
2,1982,114.5,6.69,14.99,94.6,1982.12,14.43,286.8067653,16.76,37.55,7.18
3,1982,110.8,6.72,14.81,94.5,1982.21,13.86,277.8324656,16.85,37.14,6.95
4,1982,116.3,6.75,14.6,94.9,1982.29,13.87,290.3946048,16.85,36.46,7.26
5,1982,116.4,6.78,14.38,95.8,1982.37,13.62,287.9138205,16.77,35.57,7.19
6,1982,109.7,6.81,14.17,97,1982.46,14.3,267.9846598,16.64,34.62,6.69
7,1982,109.4,6.82,13.97,97.5,1982.54,13.95,265.8812718,16.58,33.95,6.64
8,1982,109.7,6.84,13.76,97.7,1982.62,13.06,266.0646059,16.59,33.37,6.64
9,1982,122.4,6.85,13.56,97.9,1982.71,12.34,296.2605107,16.58,32.82,7.4
10,1982,132.7,6.86,13.25,98.2,1982.79,10.91,320.2096945,16.55,31.97,8
11,1982,138.1,6.86,12.95,98,1982.87,10.55,333.9201633,16.59,31.31,8.35
12,1982,139.4,6.87,12.64,97.6,1982.96,10.54,338.444918,16.68,30.69,8.47
1,1983,144.3,6.88,12.57,97.8,1983.04,10.46,349.6250307,16.67,30.46,8.76
2,1983,146.8,6.9,12.49,97.9,1983.12,10.72,355.3189785,16.70,30.23,8.91
3,1983,151.9,6.91,12.42,97.9,1983.21,10.51,367.6631665,16.73,30.06,9.23
4,1983,157.7,6.92,12.48,98.6,1983.29,10.4,378.9918053,16.63,29.99,9.53
5,1983,164.1,6.93,12.53,99.2,1983.37,10.38,391.9872581,16.55,29.93,9.87
6,1983,166.4,6.94,12.59,99.5,1983.46,10.85,396.2828543,16.53,29.98,10
7,1983,167,6.96,12.83,99.9,1983.54,11.38,396.1193193,16.51,30.43,10.01
8,1983,162.4,6.98,13.06,100.2,1983.62,11.85,384.0549301,16.51,30.89,9.73
9,1983,167.2,7,13.3,100.7,1983.71,11.65,393.4430189,16.47,31.30,9.98
10,1983,167.7,7.03,13.54,101,1983.79,11.54,393.4474455,16.49,31.77,10
11,1983,165.2,7.06,13.79,101.2,1983.87,11.69,386.8161265,16.53,32.29,9.85
12,1983,164.4,7.09,14.03,101.3,1983.96,11.83,384.562922,16.58,32.82,9.82
1,1984,166.4,7.12,14.44,101.9,1984.04,11.67,386.9494014,16.56,33.58,9.89
2,1984,157.3,7.15,14.85,102.4,1984.12,11.84,364.0020313,16.55,34.36,9.32
3,1984,157.4,7.18,15.26,102.6,1984.21,12.32,363.5234308,16.58,35.24,9.33
